"행정구역(시군구)별","성별","연령별","항목","단위","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"전국","남자","10 - 14세","주민등록연앙인구[명]","명","2120029","2080028","1988930","1886204.5","1779413.5","1697719.5","1662429.5","1658057","1680171","1732800","1789104","1838148","1879134.5","1890244","1867106","1826142","1773968.5","1723436.5","1667248","1586749","1502120","1423962.5","1330833.5","1247175.5","1215944","1206456","1191290.5","1192976.5","1208122.5",
"전국","남자","15 - 19세","주민등록연앙인구[명]","명","2087280","2031273","2028512","2057309.5","2086327","2100352.5","2061551","1973670","1873292.5","1767491","1686289.5","1651535","1646915.5","1668896.5","1722228.5","1779842.5","1829732.5","1870870","1882478","1859556","1818948.5","1767803","1718355","1662817","1582678.5","1497710","1418938","1325906","1242509",
"전국","남자","20 - 24세","주민등록연앙인구[명]","명","2415096.5","2382078.5","2322519.5","2231847.5","2143611","2064479.5","2009479.5","2008956","2039132","2068955","2083413","2045753","1959368.5","1860647","1756562","1676808","1643101","1638804","1661130","1713945.5","1770703.5","1820690.5","1862369.5","1874179.5","1851296","1810584.5","1759184","1709726","1654306.5",
"전국","남자","25 - 29세","주민등록연앙인구[명]","명","2251220","2290774","2319067","2355347","2388416.5","2385575","2353786","2297973","2209719.5","2121749.5","2041073","1986486.5","1989036","2022829.5","2056125","2074424","2039125.5","1951930","1852499.5","1748146","1667899.5","1634327","1630423.5","1652552.5","1705353","1762115","1811314.5","1852731","1864933.5",
"전국","남자","30 - 34세","주민등록연앙인구[명]","명","2361322","2347903.5","2309492.5","2257435","2212247.5","2216004","2254799.5","2286829","2325771","2358846","2353524","2319792.5","2265841","2183179.5","2102838","2031664.5","1983235.5","1984565.5","2016304.5","2047847.5","2063995","2028612","1942875","1844353.5","1740691.5","1661315","1627594","1623891.5","1646546.5",
"전국","남자","35 - 39세","주민등록연앙인구[명]","명","1915569","2031660.5","2130754","2224885.5","2295378","2313176","2298122","2265228","2218743.5","2176203.5","2179457.5","2216884.5","2248365","2289147","2328233","2334773.5","2311986.5","2260208","2176905.5","2095268.5","2021618","1972312.5","1974398.5","2006132.5","2037572.5","2054181","2018361.5","1933535.5","1836896",
"전국","남자","40 - 44세","주민등록연앙인구[명]","명","1376461","1424142.5","1521729.5","1650196.5","1760980","1865149","1977515.5","2077820","2174115.5","2245144.5","2263138","2249286","2217681","2174572.5","2139080","2153919","2202463.5","2237800","2278987","2316941","2320135.5","2295490.5","2244823","2162689.5","2082042","2009430","1959709","1962337","1995164",
"전국","남자","45 - 49세","주민등록연앙인구[명]","명","1114378","1163242.5","1217250","1254559","1290647","1328522.5","1373860","1470615.5","1597944","1707414","1810192.5","1921769","2021726.5","2118789","2194685.5","2223951","2222229","2196291","2156068","2120985.5","2132558","2178993.5","2214502","2255899.5","2294774.5","2299107","2274031.5","2224690","2145192",
"전국","남자","50 - 54세","주민등록연앙인구[명]","명","1090104.5","1085158","1070289.5","1056264.5","1046131.5","1065339","1112912.5","1166811.5","1204911","1241331","1279364","1325468","1421545","1547434.5","1658052","1766719.5","1884660","1987063","2084985.5","2160551","2187739.5","2184689","2159896","2121310","2088050.5","2100952.5","2146978","2184220","2228227",
"전국","남자","55 - 59세","주민등록연앙인구[명]","명","832892","876415","905945","931788","984122.5","1022821","1020632.5","1009526","998978.5","992520.5","1014229.5","1062288.5","1116000","1155201.5","1193630","1235411.5","1285563.5","1382357","1507151","1616101.5","1721494.5","1836247.5","1937358.5","2034279","2110123","2138816.5","2136895","2115455","2081329.5",
