"경남",거제시,32,1.26,47,1.85,254073
"경남",양산시,26,0.77,33,0.97,338535
"경남",의령군,11,3.95,11,3.95,27849
"경남",함안군,1,0.15,36,5.28,68207
"경남",창녕군,40,6.24,45,7.02,64101
"경남",고성군,22,4.07,28,5.18,54060
"경남",남해군,4,0.9,18,4.03,44642
"경남",하동군,15,3.07,189,38.7,48831
"경남",산청군,11,3.03,11,3.03,36340
"경남",함양군,2,0.5,17,4.23,40175
"경남",거창군,10,1.59,10,1.59,62763
"경남",합천군,1,0.21,1,0.21,47000
"제주",제주시,5,0.1,71,1.48,478700
"제주",서귀포시,80,4.48,149,8.35,178383
